3,Q02010102,10800101,,1,1
3,Q02010202,10800101,,2,1
3,Q02010302,10800101,,3,1
3,Q02010104,10800102,,1,1
3,Q02010204,10800102,,2,1
3,Q02010304,10800102,,3,1
3,Q03010602,,20102000,2,2
3,Q03010702,,20102000,3,2
3,Q03010802,,20102000,4,2
3,Q03020202,,20501000,2,2
3,Q03020302,,20501000,3,2
3,Q03020402,,20501000,4,2
3,Q03020204,,20502000,2,2
3,Q03020304,,20502000,3,2
3,Q03020404,,20502000,4,2
3,Q03020206,,20503000,2,2
3,Q03020306,,20503000,3,2
3,Q03020406,,20503000,4,2
3,Q03020208,,20504000,2,2
3,Q03020308,,20504000,3,2
3,Q03020408,,20504000,4,2
3,Q03020210,,20505000,2,2
3,Q03020310,,20505000,3,2
3,Q03020410,,20505000,4,2
3,Q03020212,,20506000,2,2
3,Q03020312,,20506000,3,2
3,Q03020412,,20506000,4,2
3,Q03030202,,23201000,3,2
3,Q03030302,,23201000,4,2
3,Q03030204,,23202000,3,2
3,Q03030304,,23202000,4,2
3,Q03030206,,23203000,3,2
3,Q03030306,,23203000,4,2
3,Q03030208,,23204000,3,2
3,Q03030308,,23204000,4,2
3,Q03050403,,23409000,3,2
3,Q03050503,,23409000,4,2
3,Q06010302,,24601002,3,2
3,Q06010402,,24601002,4,2
3,Q10010102,,23900000,1,2
3,Q10010202,,23900000,3,2
3,Q10010302,,23900000,4,2
3,Q10010402,,25250000,1,2
3,Q10010502,,25250000,3,2
3,Q10010602,,25250000,4,2
3,Q03010102,,20101000,1,2
3,Q03010202,,20101000,2,2
3,Q03010302,,20101000,3,2
3,Q03010402,,20101000,4,2
3,Q03010502,,20102000,1,2
3,Q03020102,,20501000,1,2
3,Q03020104,,20502000,1,2
3,Q03020106,,20503000,1,2
3,Q03020108,,20504000,1,2
3,Q03020110,,20505000,1,2
3,Q03020112,,20506000,1,2
3,Q03030102,,23201000,1,2
3,Q03030104,,23202000,1,2
3,Q03030106,,23203000,1,2
3,Q03030108,,23204000,1,2
3,Q03050103,,23409000,1,2
3,Q03050203,,23400000,2,2
3,Q03050303,,23400000,5,2
4,Q02010102,10810101,,1,1
4,Q02010202,10810101,,2,1
4,Q02010302,10810101,,3,1
4,Q02010104,10810102,,1,1
4,Q02010204,10810102,,2,1
4,Q02010304,10810102,,3,1
4,Q02010106,10810103,,1,1
4,Q02010206,10810103,,2,1
4,Q02010306,10810103,,3,1
4,Q02010108,10810111,,1,1
4,Q02010208,10810111,,2,1
4,Q02010308,10810111,,3,1
4,Q10010202,,23900000,3,2
4,Q10010302,,23900000,4,2
4,Q10010502,,25250000,3,2
4,Q10010602,,25250000,4,2
4,Q03020102,,20501000,1,2
4,Q03020202,,20501000,2,2
4,Q03020302,,20501000,5,2
4,Q03020402,,20501000,3,2
4,Q03020502,,20501000,4,2
4,Q03020103,,20502000,1,2
4,Q03020203,,20502000,2,2
4,Q03020303,,20502000,5,2
4,Q03020403,,20502000,3,2
4,Q03020503,,20502000,4,2
4,Q03020104,,20503000,1,2
4,Q03020204,,20503000,2,2
4,Q03020304,,20503000,5,2
4,Q03020404,,20503000,3,2
4,Q03020504,,20503000,4,2
4,Q03020105,,20504000,1,2
4,Q03020205,,20504000,2,2
4,Q03020305,,20504000,5,2
4,Q03020405,,20504000,3,2
4,Q03020505,,20504000,4,2
4,Q03020106,,20505000,1,2
4,Q03020206,,20505000,2,2
4,Q03020306,,20505000,5,2
4,Q03020406,,20505000,3,2
4,Q03020506,,20505000,4,2
4,Q03020107,,20506000,1,2
4,Q03020207,,20506000,2,2
4,Q03020307,,20506000,5,2
4,Q03020407,,20506000,3,2
4,Q03020507,,20506000,4,2
4,Q03030102,,23201000,1,2
4,Q03030202,,23201000,3,2
4,Q03030302,,23201000,4,2
4,Q03030103,,23202000,1,2
4,Q03030203,,23202000,3,2
4,Q03030303,,23202000,4,2
4,Q03030104,,23203000,1,2
4,Q03030204,,23203000,3,2
4,Q03030304,,23203000,4,2
4,Q03030105,,23204000,1,2
4,Q03030205,,23204000,3,2
4,Q03030305,,23204000,4,2
4,Q03050103,,23409000,1,2
4,Q03050203,,23409000,2,2
4,Q03050303,,23409000,5,2
4,Q03050403,,23409000,3,2
4,Q03050503,,23409000,4,2
4,Q03020508,,20507000,4,2
4,Q03020509,,20508000,4,2
4,Q03020510,,20509000,4,2
4,Q03030306,,23209000,4,2
4,Q03040502,,23601000,4,2
4,Q03040503,,23602000,4,2
4,Q03040504,,23603000,4,2
4,Q03040505,,23604000,4,2
4,Q03040506,,23605000,4,2
4,Q03040507,,23606000,4,2
4,Q03040508,,23607000,4,2
4,Q03040509,,23608000,4,2
4,Q03050502,,23401000,4,2
4,Q03060302,,24050101,4,2
4,Q03060303,,24050102,4,2
4,Q03060305,,24050201,4,2
4,Q03060306,,24050301,4,2
4,Q03060307,,24050302,4,2
4,Q03060308,,24050303,4,2
4,Q03060309,,24050304,4,2
4,Q03060315,,24059000,4,2
4,Q04010202,,24950101,4,2
4,Q04010203,,24950102,4,2
4,Q04010204,,24950200,4,2
4,Q04010206,,24950300,4,2
4,Q04010207,,24950400,4,2
4,Q04010208,,24950500,4,2
4,Q04020202,,25001200,4,2
4,Q04020203,,25001000,4,2
